time,X_0_mean,X_1_mean,X_2_mean,X_3_mean,kappa_1_mean,X_0_sd,X_1_sd,X_2_sd,X_3_sd,kappa_1_sd,X_0_se,X_1_se,X_2_se,X_3_se,kappa_1_se
3896,4.589999932795763e-05,0.0007310999736364466,0.00554529987971182,0.019145899534094495,8.13557839512825,0.0008415529590887978,0.005528702106337811,0.0178511200734758,0.03751982212453764,1.708494646553856,2.6612241223750995e-05,0.00017483291160597924,0.0005645019821733584,0.0011864809531791668,0.054027344533145304
3897,4.399999976158142e-05,0.0007315999846541672,0.005555199872527737,0.01916679951682454,8.13649290728569,0.0008073015101453037,0.005482605139799197,0.017899402465824794,0.03759935391830888,1.70886404328343,2.5529115305526902e-05,0.00017337519753111335,0.0005660288054804055,0.001188995969326326,0.05403902588340201
3898,4.369999933987856e-05,0.0007233999732270604,0.005541799874394201,0.01919289953119005,8.136953283548355,0.0008154785729819786,0.005382594373536402,0.017922366729407457,0.03759815593393896,1.709453677867547,2.5787696736869004e-05,0.0001702125794118218,0.0005667549992575022,0.0011889580857342237,0.05405767176613217
3899,4.2399998754262926e-05,0.0007161999882009696,0.005486299885240442,0.019225399566043053,8.13816869711876,0.0007879105324715255,0.005311320654059325,0.01771251153192415,0.037662167939266106,1.7103882894132139,2.4915918750460775e-05,0.0001679587065032271,0.0005601187952287855,0.0011909823230785098,0.05408722677825015
3900,4.1399999521672726e-05,0.0007065999739497784,0.0054443998546194056,0.019231799489920376,8.139052596569062,0.0007635765013305597,0.005271134502982816,0.017551885340986555,0.03769804252781892,1.7105694764612263,2.41464091198716e-05,0.00016668790882525314,0.0005550393490763864,0.0011921167771779928,0.054092956415792565
3901,4.309999942779541e-05,0.0006992999777939986,0.0054996998650385645,0.019184799512062454,8.140848382949828,0.0008056310665196628,0.00514477755242314,0.017684473860575284,0.03764214511444656,1.7109758845405287,2.5476291239927555e-05,0.0001626921512056345,0.0005592321662112888,0.0011903491457623066,0.05410580816769346
3902,4.5799998566508296e-05,0.0006902999847661704,0.005504299859501771,0.01910589949277346,8.14255951166153,0.000858626548911721,0.005052437213341094,0.017762993497046613,0.03744954750306435,1.7116976125006902,2.7152155540510078e-05,0.0001597720932915192,0.0005617151751342671,0.0011842586745235489,0.05412863120974484
3903,4.8299998976290225e-05,0.000697399991506245,0.005465699863736518,0.01903119954050635,8.14399188041687,0.0009051941527300893,0.005073791118330247,0.01771119323293732,0.03739088255143072,1.7128029729160796,2.8624752472934056e-05,0.00016044736305856477,0.0005600771069544306,0.0011824035258636903,0.054163585775225044
3904,5.129999853670597e-05,0.0007060999780660496,0.005462499862769619,0.01904139949270757,8.144978387355804,0.0009752996792510844,0.005119666189672017,0.01763438173073993,0.0373600870980985,1.7134842726409598,3.0841683876650904e-05,0.00016189806019119188,0.0005576481139800028,0.0011814296881226178,0.05418513036422372
3905,4.959999769926071e-05,0.0007029999776277692,0.005445199864407186,0.01903759947256185,8.14517249083519,0.0009168644419195864,0.0051284940109594425,0.01757167051414982,0.03727983009718,1.7131588830871494,2.8993799420850567e-05,0.00016217722041164372,0.000555665011187354,0.001178891738911851,0.05417484064305505
3906,5.299999937415123e-05,0.0007124999810184817,0.005420299861129024,0.019019999566022308,8.146423301935195,0.0009847846383618955,0.005121556646256072,0.017565183628168488,0.03724609096410285,1.7149807802386512,3.1141624619688185e-05,0.00016195784167742465,0.0005554598778411258,0.0011778248138438177,0.05423245408966824
3907,5.089999921619892e-05,0.0007087999869836494,0.005406499856209848,0.019112899468193063,8.148567605733872,0.0009507171114765304,0.0050968165786686144,0.01759082279476894,0.037443097191037555,1.7152636824451666,3.0064314827620427e-05,0.00016117549204699592,0.0005562706594787852,0.0011840546977473147,0.05424140024294499
3908,5.0399999134242534e-05,0.0007096999820132623,0.005394999852709589,0.01913549951236928,8.14870358800888,0.0009369512743106132,0.0050604448975640585,0.017615423370352563,0.03745484938090592,1.7150686244429456,2.9629000834187473e-05,0.00016002531850079884,0.0005570485979847389,0.0011844263346221025,0.05423523196731639
3909,4.809999838471413e-05,0.0007028999833200942,0.005398999825614737,0.019190799518837592,8.14979478931427,0.0008858448258473543,0.005000208227878635,0.017529546571867775,0.037562497331165456,1.716229356498466,2.801287303152837e-05,0.0001581204677521073,0.0005543329351709867,0.001187830461704789,0.05427193753780253
3910,5.099999811500311e-05,0.0006973999929614365,0.005382499854917114,0.01912809956105775,8.150609985113144,0.0009412783523385241,0.004931108257242602,0.01761190521754575,0.037588331894884024,1.7163693727904552,2.9765835056002154e-05,0.00015593533481750112,0.0005569373442244784,0.0011886474223418632,0.054276365241724696
3911,5.109999794512987e-05,0.0007098999868612736,0.0053712998534610965,0.019058599531519577,8.151127285480499,0.0009489885615791086,0.004993901325080515,0.01753884440208638,0.037448527021407475,1.7166609652129083,3.0009653280369396e-05,0.0001579210259738738,0.00055462695837887,0.0011842264040600877,0.05428558620375867
3912,5.219999980181455e-05,0.0007184999804012478,0.005336699876905186,0.01905009952589171,8.152498387813568,0.0009758521633225248,0.005056739729623931,0.017439313076999047,0.037452215157551164,1.7155911929769894,3.085915495701805e-05,0.0001599081508027565,0.0005514795015207637,0.0011843430331654361,0.05425175703532752
3913,5.489999894052744e-05,0.0007110999813303351,0.005311299890476221,0.01905619952455163,8.15404208445549,0.0010495606382867442,0.005035050864793541,0.017294964249179645,0.03755113792253627,1.7161372016665528,3.319002159446236e-05,0.00015922228867548094,0.0005469147907859158,0.001187471245663381,0.05426902334614017
3914,5.4799999110400676e-05,0.0007243999841157347,0.00528349985575187,0.01903549957793439,8.155793397665024,0.001037030549141355,0.0051731426572084425,0.01719038184775341,0.03748335755535794,1.716477118740153,3.2793785384618535e-05,0.00016358913457754345,0.0005436076048691464,0.0011853278422541205,0.05427977246782173
3915,5.349999852478504e-05,0.000739099980564788,0.005269199881469831,0.018993999447091483,8.156451289892196,0.0010108360318077387,0.005266143933630293,0.017233659387084477,0.037430354628930275,1.71822493214651,3.196544201478865e-05,0.00016653009316550308,0.0005449761608272833,0.001183651742552463,0.05433504318071238
3916,5.3999999538064e-05,0.000735899975290522,0.005254099886224139,0.018984399570617826,8.158425591230392,0.001014955232012064,0.005320267290893615,0.01714198467399013,0.03738612463332111,1.7186254902720972,3.2095702562627646e-05,0.00016824162400117424,0.0005420771518550773,0.0011822530672822209,0.054347709940833815
3917,5.2099998109042645e-05,0.0007403999830130488,0.005256599881424336,0.018931199548183942,8.159682892560959,0.0010031160300548257,0.00540566441986377,0.017194245110188074,0.03729952940456848,1.7194052572816487,3.172131412399168e-05,0.00017094211833302262,0.0005437297719540715,0.001179514685708605,0.054372368338778225
3918,5.04999989643693e-05,0.0007258999806363136,0.005232099868357182,0.018923799512791446,8.160797109365463,0.0009543010041089822,0.005293858971482067,0.017167161582227027,0.037284669557354586,1.720345391659371,3.017764746370087e-05,0.00016740651961599695,0.0005428733155997738,0.0011790447760798247,0.0544020979981805
3919,4.819999821484089e-05,0.0007310999862384051,0.005225699846487259,0.01890439950703876,8.162586091518403,0.0009420212801651658,0.005324461633437608,0.01719956099576109,0.03739047540787949,1.7210768951944888,2.978932849669522e-05,0.00016837426075843386,0.0005438978750159871,0.0011823906508541247,0.05442523017105487
3920,4.749999940395355e-05,0.0007317999850492925,0.0052188998556521255,0.018912699517735745,8.164026584386825,0.0009226727839382146,0.005336236776177387,0.01721579915574789,0.037352249311721486,1.7214645725490878,2.917747532293182e-05,0.00016874662346674684,0.000544411370721672,0.0011811818355549658,0.05443748960543289
3921,4.779999796301127e-05,0.0007233999774325639,0.005221199873369187,0.01890139949892182,8.165883188009262,0.0009212294784118928,0.0052598533030371085,0.01719301241653675,0.03740252917587864,1.722769665131331,2.9131833994704967e-05,0.0001663311659595711,0.0005436907907581173,0.0011827718244667705,0.054478760256605675
3922,4.959999956190586e-05,0.0007262999867089093,0.0051901998467656085,0.01891819949503406,8.166677389144898,0.0009509911744850665,0.005329852209684842,0.01711058088556286,0.037486825086441196,1.723261134738134,3.007298146091415e-05,0.00016854472574685448,0.0005410840768691952,0.0011854374952149256,0.05449430189018813
