time,X_0_mean,X_1_mean,X_2_mean,X_3_mean,kappa_1_mean,X_0_sd,X_1_sd,X_2_sd,X_3_sd,kappa_1_sd,X_0_se,X_1_se,X_2_se,X_3_se,kappa_1_se
2768,0.0004630999895744026,0.0038284998969320442,0.015321699665822962,0.041622599049369456,7.046960329294205,0.0035217482128995967,0.014461371920543949,0.03300203031253802,0.05477016974371251,1.4322644089762802,0.00011136745698390309,0.0004573087335972242,0.0010436158319753865,0.0017319848422417217,0.04529217743959958
2769,0.0004604999842122197,0.003769299887295347,0.015329999590023362,0.0415749990428958,7.048176129102707,0.0034971873307431084,0.014126398356321679,0.03310968788868282,0.05480435546328346,1.4322041602886084,0.00011059077369432816,0.0004467159394083536,0.0010470202634552924,0.0017330658896146816,0.04529027220880879
2770,0.0004667999884113669,0.003781799900418264,0.015329999645793577,0.04148039886688639,7.049066819906235,0.003545784805996587,0.014174959897286845,0.03312483090709183,0.05466074482348522,1.4320575896105872,0.00011212756079767478,0.00044825159016972856,0.0010474991277435158,0.001728524522434717,0.04528563723700137
2771,0.00045859998883679507,0.0037498998873415983,0.015385299599685823,0.04143859895844798,7.050276029586792,0.003497401515591709,0.014116295403903906,0.033244956701761794,0.054734736248483594,1.431436868212886,0.00011059754681394693,0.00044639645600102893,0.0010512978389124637,0.0017308643367378808,0.04526600830290998
2772,0.0004604999888688326,0.003750699901866028,0.015379899580933852,0.0413708988571816,7.051444917678833,0.0035344789798633664,0.01411905861588652,0.03322503042231842,0.05472992851948481,1.431630210500543,0.00011177003918356648,0.0004464838364362582,0.0010506677146291232,0.0017307123029977908,0.045272122322880214
2773,0.0004558999873697758,0.0037547999038069976,0.015346899599127937,0.04129329892591341,7.0524092233181,0.0035106137655198867,0.014158338392357955,0.033146051888673866,0.054763308681843016,1.4309416878167187,0.00011101535484183131,0.00044772597203257845,0.001048170194103353,0.0017317678764149722,0.04525034932386445
2774,0.00045339998952113094,0.0037563999028061516,0.015308999601737015,0.041260099018327306,7.053994525671005,0.003467077824143798,0.014175520933172234,0.033120548160961695,0.05466439368765648,1.4302659301137595,0.00010963862749355126,0.00044826933168219777,0.0010473636954194006,0.0017286399096512546,0.0452289799889869
2775,0.00046139998827129605,0.003740799907245673,0.015282899637502852,0.04134459894392057,7.055240926027298,0.0035223026525588413,0.014149839704460994,0.03310513425095642,0.05470289005167028,1.4307884091627503,0.00011138498990538649,0.00044745721992380547,0.0010468762647867452,0.0017298572715704402,0.0452455022272322
2776,0.0004504999895580113,0.003697499893256463,0.015257399637892377,0.0412865989904094,7.057031718730927,0.0034141522613032093,0.01390699879430456,0.03312482038635955,0.054660395584904486,1.4308980308107497,0.00010796497424332494,0.00043977791607217897,0.001047498795048749,0.0017285134785410977,0.04524896876811759
2777,0.0004465999884996563,0.0036646999061340467,0.015259299609228037,0.04128169892670121,7.0580398271083835,0.0034039057644504813,0.013770464794236948,0.03308238382431994,0.05478931139650003,1.430054839508434,0.00010764095156240127,0.00043546033188950664,0.001046156833127627,0.0017325901544516084,0.04522230471793198
2778,0.0004452999897766858,0.0036834999070852062,0.015226999656078988,0.04114429893164197,7.059671025753021,0.003389274930688824,0.013873714265737065,0.03303411626297452,0.0546679959684942,1.4295414190189033,0.00010717828397486001,0.0004387253668609967,0.0010446304788180928,0.0017287538237734422,0.045206068936488826
2779,0.00043979998910799624,0.003683899887022562,0.015185099625450676,0.04120089902274776,7.060563718795776,0.0033665306882118898,0.013903786294552568,0.03293045176843788,0.05467145780669243,1.4292036584933236,0.00010645904787603738,0.00043967632791018876,0.0010413523196658341,0.0017288632967094161,0.04519538801084355
2780,0.0004367999937385321,0.0036454998870030977,0.015174699647810484,0.041177899006404915,7.06254461979866,0.003323322128934507,0.013802678731968445,0.032851941084113094,0.05467834676601119,1.4295572220832269,0.0001050926732587281,0.0004364790260458503,0.001038869593834586,0.0017290811447309713,0.04520656867326155
2781,0.00044189999205991625,0.0036301999143324793,0.015159099601551134,0.041061799009679815,7.06311561703682,0.0033241877519007185,0.013751040303095216,0.032804213340278936,0.05458993970558618,1.4299616287415202,0.0001051200466604099,0.00043484607554553024,0.001037360310053616,0.0017262854680091396,0.045219357134673
2782,0.0004388999880757183,0.0036154999078426044,0.01510339962544822,0.04113919894004357,7.064197328329087,0.003347153949728977,0.01372809015896428,0.03262665282699977,0.05480062143307632,1.4307439800583133,0.000105846301603723,0.00043412032826470114,0.0010317453536089088,0.0017329478092116173,0.04524409725558797
2783,0.00043659999431110917,0.0036063999037723986,0.015074699663622597,0.04111249899299582,7.065196722745895,0.003340763527434229,0.0136683324341444,0.032649439945945345,0.054849890920372985,1.4311431608506824,0.00010564421870710576,0.0004322306230824972,0.0010324659455807207,0.0017345058472016792,0.045256720460608746
2784,0.000444299990311265,0.003593499899201561,0.015057399622310185,0.04112889885439654,7.06612401509285,0.0033923819700194483,0.013620370446053817,0.03258453599535189,0.05491590151379307,1.431328358788153,0.00010727653718550499,0.0004307139318477361,0.0010304135024505371,0.001736593285450747,0.04526257693361247
2785,0.0004498999895295128,0.0036223999250214545,0.015069499655444815,0.04101299907415523,7.067153419733048,0.003407352266441869,0.013740705167476224,0.03270885415687933,0.05481496894859418,1.432115654471581,0.00010774993952493219,0.00043451924986070273,0.0010343447879000514,0.0017334015174896278,0.04528747340912898
2786,0.00044999999518040567,0.003588499907098594,0.015056099559289578,0.041065398866776376,7.066571823358536,0.00340400455284302,0.013653299265900505,0.03266195581615201,0.0548725149715165,1.43208400661329,0.00010764407552566937,0.000431755232561505,0.0010328617321482415,0.0017352212825168158,0.04528647261597633
2787,0.00046099998883437367,0.0035922998932073824,0.015036999664553151,0.04104799889109563,7.067525519609451,0.0035190769150969382,0.013773468221654562,0.03267886251860901,0.0548752234569548,1.433553049645713,0.00011128298313025304,0.0004355553086037732,0.0010333963690231107,0.00173530693234676,0.0453329278356089
2788,0.00046109998987958533,0.003603499898163136,0.015011999626229226,0.041072498886394894,7.0694282157421116,0.00355197026945089,0.013890288251343318,0.03261040700050362,0.05496187930882606,1.434340512408437,0.00011232316232666809,0.0004392494823052228,0.0010312316154669112,0.0017380472309917133,0.04535782959463666
2789,0.00045239998772740364,0.0035514999147853816,0.014972299639390257,0.04104779895026877,7.071618624448776,0.0034643463006345573,0.01365988071778131,0.03266364016877753,0.05499408941604852,1.4340273565025217,0.0001095522491358363,0.00043196335634404644,0.0010329149960550369,0.0017390658040167255,0.045347926735382404
2790,0.0004609999880194664,0.0035322999178461034,0.014883199615214835,0.041013598950143206,7.0724510324001315,0.0035211186551412973,0.013645732852410556,0.03238140668540499,0.054993867838181124,1.434321736405414,0.00011134754861955452,0.00043151596155803636,0.0010239899896608321,0.0017390587971093249,0.04535723584528759
2791,0.000461999989580363,0.0035019999165815533,0.014889299668750028,0.04107579895158415,7.07283992934227,0.0035827854833191753,0.013545995782579657,0.03253283813908162,0.055028467656235584,1.4362307835342103,0.00011329762495075798,0.00042836199847986735,0.0010287786726909166,0.00174015293942612,0.04541760521616361
2792,0.000447799988090992,0.003503699925757246,0.014918199558072956,0.04100419902244903,7.074656323194504,0.0034545315645000993,0.013579732615731392,0.03261229224580396,0.05487155430915142,1.4368078489788703,0.00010924187992765185,0.0004294288508178729,0.0010312912321578833,0.0017351909037054553,0.04543585362780464
2793,0.0004532999931834638,0.0034828999202509295,0.01485349961850443,0.04097589885620982,7.075613619327545,0.003471495362656472,0.013485398977020275,0.03260746478837372,0.0548705011022136,1.437214711128917,0.00010977832232706687,0.0004264457592348873,0.0010311385745500128,0.0017351575983777451,0.04544871973868325
2794,0.000450799988117069,0.0034665998954878886,0.01484139963259804,0.040887399052240654,7.077671824932098,0.003471026755234938,0.013439659897192256,0.03259099728191115,0.054775295516410576,1.4378970776853803,0.00010976350365926181,0.0004249993625315193,0.00103061782627196,0.0017321469334066635,0.04547029806385875
2795,0.00044859998719766735,0.003453499938004825,0.014826699653247488,0.04086919895811297,7.078388125181198,0.0034506121395683023,0.01338582240914341,0.03249946136784238,0.05480816932651511,1.4381663855210076,0.00010911793682862656,0.0004232968716741548,0.0010277232065103324,0.0017331864945596455,0.045478814325381874
2796,0.0004372999910265207,0.003457499900367111,0.014816899663332151,0.04095169895606523,7.079729025840759,0.0033692387930680293,0.01335484348855136,0.0324960498334905,0.0549683480065033,1.4393722930680644,0.00010654468567091702,0.0004223172321889111,0.001027615324321654,0.0017382517891732646,0.04551694847034474
2797,0.00044529998674988744,0.0034572999185984374,0.014797799644074985,0.04088989903128822,7.081575717687607,0.0034420000757936398,0.013413081290647751,0.032416358008234544,0.05479126726708404,1.4406206404508068,0.00010884559945980096,0.00042415887319437835,0.0010250952475346045,0.0017326520045101484,0.045556424680750496
2798,0.0004298999849706888,0.003468299903695879,0.014786399594901013,0.040940398900973375,7.082471121311188,0.0032964438034941124,0.013443350724887117,0.032411498852826466,0.054930996217420286,1.4423669233336611,0.00010424270597789916,0.0004251160767511892,0.001024941587548662,0.0017370706218914193,0.04561164699423834
2799,0.0004167999909259379,0.0034568999130133306,0.014749999651387043,0.040871098971692846,7.085514322519303,0.0032232167699856825,0.013414549297607234,0.03230965773508682,0.05483403712633429,1.442293218498483,0.00010192706385605806,0.0004242052956505078,0.0010217210886335154,0.0017340045062145045,0.04560931624270104
2800,0.0004225999880582094,0.0034520999013257095,0.014729299568185524,0.04079349908881704,7.08619522356987,0.003269158290195595,0.013333296024958433,0.032267779236020026,0.054752603857686585,1.4426054786651932,0.00010337986228639786,0.0004216358415613791,0.0010203967742131123,0.0017314293601521133,0.04561919077619452
2801,0.00042729998845607043,0.003419899933505803,0.014716399593329698,0.040818598900797955,7.087000126838684,0.0033251376920657464,0.013241912081650166,0.032211904961357195,0.05477586738920609,1.4435517873431698,0.00010515008640603354,0.0004187460275371608,0.0010186298745076684,0.0017321650176123208,0.04564911568411441
2802,0.0004347999892197549,0.003401299911609385,0.014713399622312863,0.04083019894134486,7.087818017482758,0.0033923880694858763,0.013179159673487647,0.03225539672345506,0.05483115526218743,1.4453281889513259,0.00010727673006756923,0.0004167616221526198,0.0010200052047845028,0.001733913373668392,0.045705290435324
2803,0.00042659999150782826,0.003413399919634685,0.01474949964163534,0.04072479896906589,7.088277712106705,0.0033635971653117234,0.013215990840463125,0.032325062471351536,0.054758978588616614,1.4454158699039799,0.0001063662817367095,0.00041792632591786463,0.0010222082291670223,0.0017316309468442092,0.045708063150502
2804,0.00041649999236688016,0.003417199920571875,0.0147405996631569,0.04058859893008775,7.089057621002198,0.0032919711898315857,0.013229687839780268,0.032378215458449974,0.05461507095522588,1.4448317274682936,0.00010410126951522342,0.00041835946306738406,0.0010238890742037484,0.0017270801879022172,0.04568959094475473
