N,psi,delta,lambda,theta,alpha,effective_beta,psi_check,selection_mode,path_index,hit_x0_zero,t_0,first_loss_time,stop_time,simulated_until,simulated_until_rule,leading_zero_count_at_t0,first_nonzero_class_at_t0,kappa_1_at_t0,final_kappa_1,final_X0_count,final_X_0,num_classes,T_MAX
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,46,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.4655,2664,0.26639998,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,47,False,,,1000,1000,"min(5 * t_0, 1000)",,,,2.0026999,1457,0.1457,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,48,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.6894,1755,0.17549999,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,49,True,797.0,797.0,1000,1000,"min(5 * t_0, 1000)",1.0,1.0,2.4773998,2.4069,0,0.0,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,50,False,,,1000,1000,"min(5 * t_0, 1000)",,,,2.1278,1032,0.103199996,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,51,False,,,1000,1000,"min(5 * t_0, 1000)",,,,2.0521998,967,0.0967,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,52,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.0074999,3006,0.3006,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,53,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.8779,402,0.0402,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,54,False,,,1000,1000,"min(5 * t_0, 1000)",,,,2.1287,1372,0.1372,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,55,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.9320999,1474,0.14739999,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,56,True,799.0,799.0,1000,1000,"min(5 * t_0, 1000)",1.0,1.0,2.6102,2.7549999,0,0.0,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,57,False,,,1000,1000,"min(5 * t_0, 1000)",,,,2.1294,1550,0.155,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,58,False,,,1000,1000,"min(5 * t_0, 1000)",,,,2.3374999,476,0.047599997,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,59,False,,,1000,1000,"min(5 * t_0, 1000)",,,,2.2744,1158,0.1158,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,60,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.5119,1520,0.152,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,61,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.6163,1756,0.17559999,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,62,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.9541999,127,0.0127,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,63,False,,,1000,1000,"min(5 * t_0, 1000)",,,,2.2928998,1247,0.124699995,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,64,False,,,1000,1000,"min(5 * t_0, 1000)",,,,2.0319,764,0.0764,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,65,False,,,1000,1000,"min(5 * t_0, 1000)",,,,2.5328999,567,0.0567,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,66,False,,,1000,1000,"min(5 * t_0, 1000)",,,,2.3061,779,0.0779,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,67,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.2964,3481,0.34809998,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,68,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.9739,1551,0.1551,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,69,False,,,1000,1000,"min(5 * t_0, 1000)",,,,2.0674,596,0.0596,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,70,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.4496,3095,0.30949998,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,71,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.9039999,555,0.055499997,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,72,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.9692999,946,0.0946,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,73,True,861.0,861.0,1000,1000,"min(5 * t_0, 1000)",1.0,1.0,2.1169999,2.01,0,0.0,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,74,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.9556999,1235,0.1235,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,75,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.5518,3057,0.3057,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,76,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.6607,3020,0.302,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,77,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.7840999,733,0.0733,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,78,False,,,1000,1000,"min(5 * t_0, 1000)",,,,2.1094,750,0.074999996,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,79,False,,,1000,1000,"min(5 * t_0, 1000)",,,,2.5417,858,0.0858,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,80,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.8288,66,0.0066,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,81,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.4643999,2732,0.2732,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,82,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.6868,1988,0.1988,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,83,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.7444999,1406,0.1406,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,84,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.8076999,1989,0.1989,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,85,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.9961,82,0.0082,10000,1000
10000,1.0,0.2,0.001162266380572162,1.842068074395237,0.0006309573444801934,0.7336735810771482,0.9999999999999999,exponential,86,False,,,1000,1000,"min(5 * t_0, 1000)",,,,1.7887,1369,0.1369,10000,1000
